参数名,标准化参数名,参数英文名,类型,参数类型,接口名,接口类型,数据样例,出现频次,涉及接口数,取值范围,取值说明
JYXJLYYSR,JYXJLYYSR,JYXJLYYSR,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
KCFJCXSYJLR,KCFJCXSYJLR,KCFJCXSYJLR,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
KCFJCXSYJLRTZ,KCFJCXSYJLRTZ,KCFJCXSYJLRTZ,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
KFJLRGDHBZC,KFJLRGDHBZC,KFJLRGDHBZC,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
LD,LD,LD,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
LOW,LOW,LOW,float64,输出参数,futures_settlement_price_sgx,期货数据,,1,1,,
LPR1Y,LPR1Y,LPR1Y,float64,输出参数,macro_china_lpr,中国宏观数据,,1,1,,
LPR5Y,LPR5Y,LPR5Y,float64,输出参数,macro_china_lpr,中国宏观数据,,1,1,,
MGJYXJJE,MGJYXJJE,MGJYXJJE,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
MGWFPLR,MGWFPLR,MGWFPLR,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
MGZBGJ,MGZBGJ,MGZBGJ,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
MLR,MLR,MLR,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
NETPROFITRPHBZC,NETPROFITRPHBZC,NETPROFITRPHBZC,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
NET_PROFIT_RATIO_YOY,NET_PROFIT_RATIO_YOY,NET_PROFIT_RATIO_YOY,float64,输出参数,stock_financial_us_analysis_indicator_em,股票数据,,1,1,,
NOTICE_DATE,NOTICE_DATE,NOTICE_DATE,object,输出参数,stock_financial_us_analysis_indicator_em,股票数据,,1,1,,
OCF_LIQDEBT,OCF_LIQDEBT,OCF_LIQDEBT,float64,输出参数,stock_financial_us_analysis_indicator_em,股票数据,,1,1,,
OCF_SALES,OCF_SALES,OCF_SALES,float64,输出参数,stock_financial_hk_analysis_indicator_em,股票数据,,1,1,,
OINT,OINT,OINT,int64,输出参数,futures_settlement_price_sgx,期货数据,0,1,1,,
OPEN,OPEN,OPEN,float64,输出参数,futures_settlement_price_sgx,期货数据,,1,1,,
OPERATE_INCOME_QOQ,OPERATE_INCOME_QOQ,OPERATE_INCOME_QOQ,float64,输出参数,stock_financial_hk_analysis_indicator_em,股票数据,,1,1,,
ORGTYPE,ORGTYPE,ORGTYPE,object,输出参数,stock_financial_us_analysis_indicator_em,股票数据,,1,1,,
PARENTNETPROFIT,PARENTNETPROFIT,PARENTNETPROFIT,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
PARENTNETPROFITTZ,PARENTNETPROFITTZ,PARENTNETPROFITTZ,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
PARENT_HOLDER_NETPROFIT,PARENT_HOLDER_NETPROFIT,PARENT_HOLDER_NETPROFIT,int64,输出参数,stock_financial_us_analysis_indicator_em,股票数据,,1,1,,
PARENT_HOLDER_NETPROFIT_YOY,PARENT_HOLDER_NETPROFIT_YOY,PARENT_HOLDER_NETPROFIT_YOY,float64,输出参数,stock_financial_us_analysis_indicator_em,股票数据,,1,1,,
PE(TTM),PETTM,PE,float64,输出参数,stock_value_em,股票数据,,1,1,,
PE(静),PE静,PE,float64,输出参数,stock_value_em,股票数据,,1,1,,
PEG,PEG,PEG,float64,输出参数,stock_zh_valuation_comparison_em,股票数据,,1,1,,
PEG值,PEG值,PEG,float64,输出参数,stock_value_em,股票数据,-1.428399,1,1,,
PER_NETCASH_OPERATE,PER_NETCASH_OPERATE,PER_NETCASH_OPERATE,float64,输出参数,stock_financial_hk_analysis_indicator_em,股票数据,,1,1,,
PER_OI,PER_OI,PER_OI,float64,输出参数,stock_financial_hk_analysis_indicator_em,股票数据,,1,1,,
PE滚动,PE滚动,PE,float64,输出参数,index_all_cni,指数数据,,1,1,,
QDII,QDII,QDII,float64,输出参数,fund_aum_hist_em,基金数据,763.82,1,1,,
QYCS,QYCS,QYCS,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
RATE_1,RATE_1,RATE_1,float64,输出参数,macro_china_lpr,中国宏观数据,8.64,1,1,,
RATE_2,RATE_2,RATE_2,float64,输出参数,macro_china_lpr,中国宏观数据,9.72,1,1,,
REPORT,REPORT,REPORT,object,输出参数,stock_financial_us_report_em,股票数据,,1,1,,
REPORT_DATA_TYPE,REPORT_DATA_TYPE,REPORT_DATA_TYPE,object,输出参数,stock_financial_us_analysis_indicator_em,股票数据,,1,1,,
REPORT_DATE_NAME,REPORT_DATE_NAME,REPORT_DATE_NAME,object,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
ROA_YOY,ROA_YOY,ROA_YOY,float64,输出参数,stock_financial_us_analysis_indicator_em,股票数据,,1,1,,
ROE-22A,ROE22A,ROE,float64,输出参数,stock_zh_dupont_comparison_em,股票数据,5.51,1,1,,
ROE-23A,ROE23A,ROE,float64,输出参数,stock_zh_dupont_comparison_em,股票数据,,1,1,,
ROE-24A,ROE24A,ROE,float64,输出参数,stock_zh_dupont_comparison_em,股票数据,,1,1,,
ROE-3年平均,ROE3年平均,ROE,float64,输出参数,stock_zh_dupont_comparison_em,股票数据,5.70,1,1,,
ROE-3年平均排名,ROE3年平均排名,ROE,float64,输出参数,stock_zh_dupont_comparison_em,股票数据,,1,1,,
ROEJQ,ROEJQ,ROEJQ,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
ROEKCJQ,ROEKCJQ,ROEKCJQ,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
ROE_AVG_YOY,ROE_AVG_YOY,ROE_AVG_YOY,float64,输出参数,stock_financial_us_analysis_indicator_em,股票数据,,1,1,,
ROE_YEARLY,ROE_YEARLY,ROE_YEARLY,float64,输出参数,stock_financial_hk_analysis_indicator_em,股票数据,,1,1,,
ROIC_YEARLY,ROIC_YEARLY,ROIC_YEARLY,float64,输出参数,stock_financial_hk_analysis_indicator_em,股票数据,,1,1,,
SD,SD,SD,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
SECURITY_INNER_CODE,SECURITY_INNER_CODE,SECURITY_INNER_CODE,object,输出参数,stock_financial_us_analysis_indicator_em,股票数据,,1,1,,
SERIES,SERIES,SERIES,object,输出参数,futures_settlement_price_sgx,期货数据,1MFX23,1,1,,
SETTLE,SETTLE,SETTLE,float64,输出参数,futures_settlement_price_sgx,期货数据,465.34,1,1,,
SPEED_RATIO,SPEED_RATIO,SPEED_RATIO,float64,输出参数,stock_financial_us_analysis_indicator_em,股票数据,,1,1,,
SPEED_RATIO_YOY,SPEED_RATIO_YOY,SPEED_RATIO_YOY,float64,输出参数,stock_financial_us_analysis_indicator_em,股票数据,28.440175,1,1,,
STD_ITEM_NAME,STD_ITEM_NAME,STD_ITEM_NAME,object,输出参数,stock_financial_hk_report_em,股票数据,,1,1,,
TAXRATE,TAXRATE,TAXRATE,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
TAX_EBT,TAX_EBT,TAX_EBT,float64,输出参数,stock_financial_hk_analysis_indicator_em,股票数据,,1,1,,
TOAZZL,TOAZZL,TOAZZL,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
TOTALOPERATEREVE,TOTALOPERATEREVE,TOTALOPERATEREVE,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
TOTALOPERATEREVETZ,TOTALOPERATEREVETZ,TOTALOPERATEREVETZ,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
TOTAL_ASSETS_TDAYS,TOTAL_ASSETS_TDAYS,TOTAL_ASSETS_TDAYS,float64,输出参数,stock_financial_us_analysis_indicator_em,股票数据,,1,1,,
TOTAL_ASSETS_TR,TOTAL_ASSETS_TR,TOTAL_ASSETS_TR,float64,输出参数,stock_financial_us_analysis_indicator_em,股票数据,,1,1,,
TRADE_DATE,TRADE_DATE,TRADE_DATE,object,输出参数,macro_china_lpr,中国宏观数据,1991-04-21,1,1,,
VOLUME,VOLUME,VOLUME,int64,输出参数,futures_settlement_price_sgx,期货数据,0,1,1,,
XJLLB,XJLLB,XJLLB,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
XSJLL,XSJLL,XSJLL,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
XSJXLYYSR,XSJXLYYSR,XSJXLYYSR,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
XSMLL,XSMLL,XSMLL,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
YSZKYYSR,YSZKYYSR,YSZKYYSR,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
YSZKZZL,YSZKZZL,YSZKZZL,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
YSZKZZTS,YSZKZZTS,YSZKZZTS,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
YYZSRGDHBZC,YYZSRGDHBZC,YYZSRGDHBZC,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
ZCFZL,ZCFZL,ZCFZL,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
ZZCJLL,ZZCJLL,ZZCJLL,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
ZZCZZTS,ZZCZZTS,ZZCZZTS,float64,输出参数,stock_financial_analysis_indicator_em,股票数据,,1,1,,
after_amount,after_amount,after_amount,float64,输出参数,stock_zh_kcb_daily,股票数据,,1,1,,
after_volume,after_volume,after_volume,float64,输出参数,stock_zh_kcb_daily,股票数据,,1,1,,
ask,ask,ask,float64,输出参数,futures_zh_realtime,期货数据,0.0,1,1,,
ask_price,ask_price,ask_price,float64,输出参数,futures_zh_spot,期货数据,,1,1,,
askprice1,askprice1,askprice1,float64,输出参数,futures_zh_realtime,期货数据,,1,1,,
askvol1,askvol1,askvol1,int64,输出参数,futures_zh_realtime,期货数据,,1,1,,
averagePELYR,averagePELYR,averagePELYR,float64,输出参数,stock_a_ttm_lyr,股票数据,,1,1,,
averagePETTM,averagePETTM,averagePETTM,float64,输出参数,stock_a_ttm_lyr,股票数据,,1,1,,
avg_dblow,avg_dblow,avg_dblow,float64,输出参数,bond_cb_index_jsl,债券数据,,1,1,,
avg_premium_rt,avg_premium_rt,avg_premium_rt,float64,输出参数,bond_cb_index_jsl,债券数据,,1,1,,
avg_ytm_rt,avg_ytm_rt,avg_ytm_rt,float64,输出参数,bond_cb_index_jsl,债券数据,,1,1,,
below_net_asset,below_net_asset,below_net_asset,float64,输出参数,stock_a_below_net_asset_statistics,股票数据,,1,1,,
below_net_asset_ratio,below_net_asset_ratio,below_net_asset_ratio,float64,输出参数,stock_a_below_net_asset_statistics,股票数据,,1,1,,
bid,bid,bid,float64,输出参数,futures_zh_realtime,期货数据,0.0,1,1,,
bid_price,bid_price,bid_price,float64,输出参数,futures_zh_spot,期货数据,,1,1,,
bidprice1,bidprice1,bidprice1,float64,输出参数,futures_zh_realtime,期货数据,,1,1,,
bidvol1,bidvol1,bidvol1,int64,输出参数,futures_zh_realtime,期货数据,,1,1,,
buy,buy,buy,float64,输出参数,stock_sector_detail,股票数据,,1,1,,
buy_vol,buy_vol,buy_vol,int64,输出参数,futures_zh_spot,期货数据,,1,1,,
congestion,congestion,congestion,float64,输出参数,stock_a_congestion_lg,股票数据,0.3783,1,1,,
count,count,count,int64,输出参数,bond_cb_index_jsl,债券数据,,1,1,,
current_price,current_price,current_price,float64,输出参数,futures_zh_spot,期货数据,,1,1,,
datetime,datetime,datetime,object,输出参数,futures_zh_minute_sina,期货数据,2025-01-14,1,1,,
equalWeightAveragePB,equalWeightAveragePB,equalWeightAveragePB,float64,输出参数,stock_a_all_pb,股票数据,,1,1,,
exchange,exchange,exchange,object,输出参数,futures_zh_realtime,期货数据,czce,1,1,,
high120,high120,high120,int64,输出参数,stock_a_high_low_statistics,股票数据,143,1,1,,
high20,high20,high20,int64,输出参数,stock_a_high_low_statistics,股票数据,441,1,1,,
high60,high60,high60,int64,输出参数,stock_a_high_low_statistics,股票数据,212,1,1,,
idx_increase_rt,idx_increase_rt,idx_increase_rt,float64,输出参数,bond_cb_index_jsl,债券数据,0.30,1,1,,
idx_price,idx_price,idx_price,float64,输出参数,bond_cb_index_jsl,债券数据,4030.850,1,1,,
increase_rt,increase_rt,increase_rt,float64,输出参数,bond_cb_index_jsl,债券数据,,1,1,,
increase_rt_100_110,increase_rt_100_110,increase_rt_100_110,float64,输出参数,bond_cb_index_jsl,债券数据,,1,1,,
increase_rt_110_120,increase_rt_110_120,increase_rt_110_120,float64,输出参数,bond_cb_index_jsl,债券数据,,1,1,,
increase_rt_120_130,increase_rt_120_130,increase_rt_120_130,float64,输出参数,bond_cb_index_jsl,债券数据,,1,1,,
increase_rt_130,increase_rt_130,increase_rt_130,float64,输出参数,bond_cb_index_jsl,债券数据,,1,1,,
increase_rt_90,increase_rt_90,increase_rt_90,float64,输出参数,bond_cb_index_jsl,债券数据,,1,1,,
increase_rt_90_100,increase_rt_90_100,increase_rt_90_100,float64,输出参数,bond_cb_index_jsl,债券数据,,1,1,,
increase_val,increase_val,increase_val,float64,输出参数,bond_cb_index_jsl,债券数据,,1,1,,
industry_code,industry_code,industry_code,object,输出参数,stock_industry_clf_hist_sw,股票数据,440101,1,1,,
label,label,label,object,输出参数,stock_sector_spot,股票数据,new_blhy,1,1,,
last_close,last_close,last_close,float64,输出参数,futures_zh_spot,期货数据,,1,1,,
last_settle_price,last_settle_price,last_settle_price,float64,输出参数,futures_zh_spot,期货数据,,1,1,,
latest,latest,latest,float64,输出参数,stock_hk_index_daily_em,指数数据,2873.91,1,1,,
low120,low120,low120,int64,输出参数,stock_a_high_low_statistics,股票数据,67,1,1,,
low20,low20,low20,int64,输出参数,stock_a_high_low_statistics,股票数据,293,1,1,,
low60,low60,low60,int64,输出参数,stock_a_high_low_statistics,股票数据,143,1,1,,
mid_convert_value,mid_convert_value,mid_convert_value,float64,输出参数,bond_cb_index_jsl,债券数据,,1,1,,
mid_premium_rt,mid_premium_rt,mid_premium_rt,float64,输出参数,bond_cb_index_jsl,债券数据,,1,1,,
mid_price,mid_price,mid_price,float64,输出参数,bond_cb_index_jsl,债券数据,,1,1,,
middlePB,middlePB,middlePB,float64,输出参数,stock_a_all_pb,股票数据,,1,1,,
middlePELYR,middlePELYR,middlePELYR,float64,输出参数,stock_a_ttm_lyr,股票数据,,1,1,,
middlePETTM,middlePETTM,middlePETTM,float64,输出参数,stock_a_ttm_lyr,股票数据,28.79,1,1,,
nmc,nmc,nmc,float64,输出参数,stock_sector_detail,股票数据,1.619301e+06,1,1,,
open_interest,open_interest,open_interest,str,输出参数,get_futures_daily,期货数据,,1,1,,
pb,pb,pb,float64,输出参数,stock_sector_detail,股票数据,,1,1,,
per,per,per,float64,输出参数,stock_sector_detail,股票数据,,1,1,,
pre_settle,pre_settle,pre_settle,float,输出参数,get_futures_daily,期货数据,5643,1,1,,
preclose,preclose,preclose,float64,输出参数,futures_zh_realtime,期货数据,,1,1,,
presettlement,presettlement,presettlement,float64,输出参数,futures_zh_realtime,期货数据,,1,1,,
prev_price,prev_price,prev_price,float64,输出参数,stock_intraday_sina,股票数据,0.00,1,1,,
prevsettlement,prevsettlement,prevsettlement,float64,输出参数,futures_zh_realtime,期货数据,6065.0,1,1,,
price_100_110,price_100_110,price_100_110,int64,输出参数,bond_cb_index_jsl,债券数据,,1,1,,
price_110_120,price_110_120,price_110_120,int64,输出参数,bond_cb_index_jsl,债券数据,,1,1,,
price_120_130,price_120_130,price_120_130,int64,输出参数,bond_cb_index_jsl,债券数据,,1,1,,
price_130,price_130,price_130,int64,输出参数,bond_cb_index_jsl,债券数据,,1,1,,
price_90,price_90,price_90,int64,输出参数,bond_cb_index_jsl,债券数据,,1,1,,
price_90_100,price_90_100,price_90_100,int64,输出参数,bond_cb_index_jsl,债券数据,,1,1,,
price_dt,price_dt,price_dt,object,输出参数,bond_cb_index_jsl,债券数据,2017-12-29,1,1,,
pricechange,pricechange,pricechange,float64,输出参数,stock_sector_detail,股票数据,,1,1,,
quantileInAllHistoryAveragePeLyr,quantileInAllHistoryAveragePeLyr,quantileInAllHistoryAveragePeLyr,float64,输出参数,stock_a_ttm_lyr,股票数据,,1,1,,
quantileInAllHistoryAveragePeTtm,quantileInAllHistoryAveragePeTtm,quantileInAllHistoryAveragePeTtm,float64,输出参数,stock_a_ttm_lyr,股票数据,,1,1,,
quantileInAllHistoryEqualWeightAveragePB,quantileInAllHistoryEqualWeightAveragePB,quantileInAllHistoryEqualWeightAveragePB,float64,输出参数,stock_a_all_pb,股票数据,,1,1,,
quantileInAllHistoryMiddlePB,quantileInAllHistoryMiddlePB,quantileInAllHistoryMiddlePB,float64,输出参数,stock_a_all_pb,股票数据,,1,1,,
quantileInAllHistoryMiddlePeLyr,quantileInAllHistoryMiddlePeLyr,quantileInAllHistoryMiddlePeLyr,float64,输出参数,stock_a_ttm_lyr,股票数据,,1,1,,
quantileInAllHistoryMiddlePeTtm,quantileInAllHistoryMiddlePeTtm,quantileInAllHistoryMiddlePeTtm,float64,输出参数,stock_a_ttm_lyr,股票数据,,1,1,,
quantileInRecent10YearsAveragePeLyr,quantileInRecent10YearsAveragePeLyr,quantileInRecent10YearsAveragePeLyr,float64,输出参数,stock_a_ttm_lyr,股票数据,1.00000,1,1,,
quantileInRecent10YearsAveragePeTtm,quantileInRecent10YearsAveragePeTtm,quantileInRecent10YearsAveragePeTtm,float64,输出参数,stock_a_ttm_lyr,股票数据,,1,1,,
quantileInRecent10YearsEqualWeightAveragePB,quantileInRecent10YearsEqualWeightAveragePB,quantileInRecent10YearsEqualWeightAveragePB,float64,输出参数,stock_a_all_pb,股票数据,1.00000,1,1,,
quantileInRecent10YearsMiddlePB,quantileInRecent10YearsMiddlePB,quantileInRecent10YearsMiddlePB,float64,输出参数,stock_a_all_pb,股票数据,,1,1,,
quantileInRecent10YearsMiddlePeLyr,quantileInRecent10YearsMiddlePeLyr,quantileInRecent10YearsMiddlePeLyr,float64,输出参数,stock_a_ttm_lyr,股票数据,,1,1,,
quantileInRecent10YearsMiddlePeTtm,quantileInRecent10YearsMiddlePeTtm,quantileInRecent10YearsMiddlePeTtm,float64,输出参数,stock_a_ttm_lyr,股票数据,,1,1,,
sell,sell,sell,float64,输出参数,stock_sector_detail,股票数据,,1,1,,
sell_vol,sell_vol,sell_vol,int64,输出参数,futures_zh_spot,期货数据,,1,1,,
summary,summary,summary,object,输出参数,stock_news_main_cx,股票数据,,1,1,,
tag,tag,tag,object,输出参数,stock_news_main_cx,股票数据,今日热点,1,1,,
total_company,total_company,total_company,float64,输出参数,stock_a_below_net_asset_statistics,股票数据,,1,1,,
tradedate,tradedate,tradedate,object,输出参数,futures_zh_realtime,期货数据,,1,1,,
turnover_rt,turnover_rt,turnover_rt,float64,输出参数,bond_cb_index_jsl,债券数据,,1,1,,
update_time,update_time,update_time,object,输出参数,stock_industry_clf_hist_sw,股票数据,2015-10-27,1,1,,
url,url,url,object,输出参数,stock_news_main_cx,股票数据,https://database.caixin.com/2025-12-25/1023970...,1,1,,
